Case Number,Date,Year,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,original order
2004.07.02.a,02-Jul-04,2004,Unprovoked,USA,Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark,4558
2004.06.26.b,26-Jun-04,2004,Unprovoked,USA,Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",4557
2004.06.26.a,26-Jun-04,2004,Invalid,AUSTRALIA,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",N,,,4556
2004.06.14,14-Jun-04,2004,Unprovoked,USA,In water with diving seabirds,F,,Foot bitten,N,,,4555
2004.06.10.b,10-Jun-04,2004,Unprovoked,AUSTRALIA,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ",4554
2004.06.10.a,10-Jun-04,2004,Unprovoked,USA,Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,4553
2004.06.02,02-Jun-04,2004,Unprovoked,SOUTH AFRICA,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,4552
2004.05.29,29-May-04,2004,Unprovoked,USA,Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark,4551
2004.05.23.b,23-May-04,2004,Unprovoked,BRAZIL,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark,4550
2004.05.28,28-May-04,2004,Unprovoked,USA,Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,4549
2004.05.23.a,23-May-04,2004,Unprovoked,USA,Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,,4548
2004.05.22.c,22-May-04,2004,Invalid,USA,Swimming,M,9,Single puncture wound on the foot,N,,Shark involvement not confirmed,4547
2004.05.22.b,22-May-04,2004,Unprovoked,USA,,F,9,Foot bitten,N,Afternoon,,4546
2004.05.22.a,22-May-04,2004,Unprovoked,BRAZIL,Wading,F,24,Hips & thighs bitten,N,16h00,,4545
2004.05.18,18-May-04,2004,Provoked,BAHAMAS,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",4544
2004.05.04,04-May-04,2004,Unprovoked,USA,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']",4543
2004.05.01,01-May-04,2004,Unprovoked,BRAZIL,Swimming,M,22,FATAL,Y,Afternoon,,4542
2004.04.26,26-Apr-04,2004,Unprovoked,AUSTRALIA,Diving,M,,Puncture wounds on wrist,N,Morning,"Wobbegong shark, 1.2 m [4'] k",4541
2004.04.22,22-Apr-04,2004,Boat,NEW ZEALAND,Fishing,,,"No injury to occupants, boat scratched by shark",N,,"White shark, 5.5 m [18']",4540
2004.04.13.b,13-Apr-04,2004,Unprovoked, TONGA,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,small sharks,4539
2004.04.13.a,13-Apr-04,2004,Invalid, TONGA,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,,,4538
2004.04.07,07-Apr-04,2004,Unprovoked,USA,Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark,4537
2004.04.05,05-Apr-04,2004,Unprovoked,SOUTH AFRICA,Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,4536
2004.04.04,04-Apr-04,2004,Invalid,USA,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",Y,,,4535
2004.03.31.b,31-Mar-04,2004,Unprovoked,USA,,M,26,Right foot bitten,N,,,4534
2004.03.31.a,31-Mar-04,2004,Unprovoked,USA,Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,4533
2004.03.29,29-Mar-04,2004,Unprovoked,BRAZIL,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,4532
2004.03.28,28-Mar-04,2004,Unprovoked,USA,Surfing,M,,Heel bitten,N,15h00,bull shark,4531
2004.03.27.b,27-Mar-04,2004,Unprovoked,REUNION,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,4530
2004.03.27.a,27-Mar-04,2004,Unprovoked,USA,Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,4529
2004.03.24,14-Mar-04,2004,Unprovoked,USA,Snorkeling,F,,Lacerations to left foot,N,10h00,1.8 m [6'] shark,4528
2004.03.22,22-Mar-04,2004,Unprovoked,NEW ZEALAND,Spearfishing,M,,No injury,N,12h30,Bronze whaler shark,4527
2004.03.16,16-Mar-04,2004,Unprovoked,USA,Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",4526
2004.03.06,06-Mar-04,2004,Unprovoked,AUSTRALIA,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",4525
2004.02.29,29-Feb-04,2004,Unprovoked,BRAZIL,Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,4524
2004.02.26,26-Feb-04,2004,Unprovoked,NEW ZEALAND,Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,4523
2004.02.21,21-Feb-04,2004,Unprovoked,AUSTRALIA,Swimming,M,,Three toes lacerated,N,,,4522
2004.02.16,16-Feb-04,2004,Invalid,AUSTRALIA,Free diving & spearfishing,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",N,11h00,Shark involvement not confirmed,4521
2004.02.14,14-Feb-04,2004,Unprovoked,EGYPT,Snorkeling,M,,FATAL,Y,,,4520
2004.02.11,11-Feb-04,2004,Unprovoked,AUSTRALIA,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",4519
2004.01.25,25-Jan-04,2004,Unprovoked,AUSTRALIA,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,4518
2004.01.23,23-Jan-04,2004,Unprovoked,URUGUAY,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,4517
2004.01.22,22-Jan-04,2004,Invalid,NEW ZEALAND,Boogie boarding,M,,"No injury, swim fin damaged",N,,Shark involvement doubtful,4516
2004.01.21.b,21-Jan-04,2004,Unprovoked,VENEZUELA,Swimming,M,,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",4515
2004.01.21.a,21-Jan-04,2004,Unprovoked,VENEZUELA,Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",4514
2004.01.15.R,Reported 15-Jan-2004 ,2004,Boat,SOUTH AFRICA,Surf skiing,M,,"No injury to occupants, stern of ski bitten",N,,"Mako shark, 3 m to 4 m [10' to 13'] ",4513
2004.01.12,12-Jan-04,2004,Unprovoked,AUSTRALIA,Diving,M,,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",4512
2004.01.07,07-Jan-04,2004,Unprovoked,SOUTH AFRICA,Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,4511
2004.01.03.b,03-Jan-04,2004,Invalid,NEW ZEALAND,Kayaking (returning from spearfishing),M,,"No injury, no attack, shark took fish from back of kayak",N,Afternoon,,4510
2004.01.03.a,03-Jan-04,2004,Sea Disaster,EGYPT,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,"No survivors, sharks scavenged on remains",Y,03h00,,4509
2004.00.00,2004,2004,Unprovoked,AUSTRALIA,Surfing,M,,No inury,N,Morning,,4508
2003.12.31,31-Dec-03,2003,Boat,SOUTH AFRICA,,,,No injury to occupants,N,,Shortfin mako shark,4507
2003.12.26,26-Dec-03,2003,Invalid,USA,Swimming,M,28,Knee lacerated,N,,Questionable Incident,4506
2003.12.13.b,13-Dec-03,2003,Unprovoked,USA,Swimming,M,13,Foot bitten,N,13h15,,4505
2003.12.13.a,13-Dec-03,2003,Unprovoked,NEW ZEALAND,Swimming / shipwreck,M,45,FATAL,Y,Night,,4504
2003.12.08,08-Dec-03,2003,Unprovoked,AUSTRALIA,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,09h30,,4503
2003.11.30.b,30-Nov-03,2003,Unprovoked,AUSTRALIA,Swimming,M,,"After biting Halverson, it bit Scott's thigh",N,11h30,"Wobbegong shark, 1.2 m [4'] ",4502
2003.11.30.a,30-Nov-03,2003,Unprovoked,AUSTRALIA,Swimming,M,,Hand & foot bitten,N,11h30,"Wobbegong shark, 1.2 m [4'] ",4501
2003.11.27,27-Nov-03,2003,Unprovoked,SOUTH AFRICA,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?",4500
2003.11.22,22-Nov-03,2003,Unprovoked,USA,Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark,4499
2003.11.12.b,12-Nov-03,2003,Unprovoked,INDIA,Swimming or surfing,M,35,Left index finger lacerated,N,,Tiger shark?,4498
2003.11.12.a,12-Nov-03,2003,Unprovoked,USA,Surfing,M,24,Lacerations to hand,N,,,4497
2003.11.06.b,06-Nov-03,2003,Unprovoked,EGYPT,Snorkeling,M,,Hand/elbow injured,N,,2.5 oceanic whitetip shark,4496
2003.11.06.a,06-Nov-03,2003,Unprovoked,SOUTH AFRICA,Surf skiing,,,"No injury to occupants, hull of ski bitten",N,,White shark,4495
2003.11.01,01-Nov-03,2003,Unprovoked,AUSTRALIA,Standing,M,,Minor lacerations to leg & foot,N,Dusk,,4494
2003.11.00,Nov-03,2003,Provoked,PANAMA,Spearfishing,M,,Left forearm bitten PROVOKED INCIDENT,N,,"Nurse shark, 60 cm to 90 cm [2' to 3'] ",4493
2003.10.31.c,31-Oct-03,2003,Unprovoked,USA,Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark,4492
2003.10.31.b,31-Oct-03,2003,Unprovoked,AUSTRALIA,Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",4491
2003.10.31.a,31-Oct-03,2003,Unprovoked,USA,Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' ",4490
2003.10.27,27-Oct-03,2003,Unprovoked,USA,Surfing,M,46,Laceration on right ankle & heel,N,12h20,,4489
2003.10.24,24-Oct-03,2003,Invalid,USA,Snorkeling,M,56,Left forearm lacerated,N,12h20,Shark involvement not confirmed,4488
2003.10.14,14-Oct-03,2003,Unprovoked,USA,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark,4487
2003.10.06,06-Oct-03,2003,Invalid,USA,Swimming to shore from boat or kayak,M,,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,--,,4486
2003.10.05.e,05-Oct-03,2003,Unprovoked,USA,Surfing,F,,Minor puncture wounds in hand,N,15h00,,4485
2003.10.05.d,05-Oct-03,2003,Unprovoked,USA,Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,14h30,,4484
2003.10.05.c,05-Oct-03,2003,Provoked,USA,Surfing,M,30,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,14h00,,4483
2003.10.05.b,05-Oct-03,2003,Unprovoked,USA,Sitting on surfboard,M,50,Left foot bitten,N,12h02,,4482
2003.10.05.a,05-Oct-03,2003,Unprovoked,USA,Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark""",4481
2003.09.29,29-Sep-03,2003,Unprovoked,FIJI,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,Night,,4480
2003.09.28,28-Sep-03,2003,Unprovoked,USA,Surfing,M,16,Arm lacerated,N,07h45,,4479
2003.09.21,21-Sep-03,2003,Unprovoked,USA,Surfing,M,21,Left foot bitten,N,11h45,,4478
2003.09.19,19-Sep-03,2003,Unprovoked,USA,Surfing,M,19,Left heel lacerated,N,16h30,,4477
2003.09.17,17-Sep-03,2003,Unprovoked,USA,Surfing,M,17,3 puncture wounds on left foot,N,14h00,,4476
2003.09.14.c,14-Sep-03,2003,Unprovoked,USA,Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark,4475
2003.09.14.b,14-Sep-03,2003,Boat,SOUTH AFRICA,Fishing ,,36 & 26,"No injury to occupants, shark bit boat",N,09h40,2 m cow shark,4474
2003.09.14.a,14-Sep-03,2003,Invalid,USA,Swimming,F,8 or 10,Puncture wounds on inner thigh,N,13h30,Shark involvement doubtful,4473
2003.09.13.b,13-Sep-03,2003,Unprovoked,USA,Body boarding,M,18,Left calf avulsion,N,17h11,6' shark,4472
2003.09.13.a,13-Sep-03,2003,Unprovoked,USA,"Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark,4471
2003.09.12,12-Sep-03,2003,Unprovoked,SOUTH AFRICA,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark,4470
2003.09.00,Sep-03,2003,Unprovoked,USA,Wade-fishing,M,,2 lacerations on each side of Achilles tendon,N,,,4469
2003.08.29,29-Aug-03,2003,Provoked,USA,Fishing,M,,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N,12h20,1.2 m [4'] bull shark,4468
2003.08.19,19-Aug-03,2003,Unprovoked,USA,"Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark,4467
2003.08.12,12-Aug-03,2003,Invalid,USA,Swimming,M,31,Left ankle lacerated,N,00h30,Shark involvement not confirmed,4466
2003.08.08,08-Aug-03,2003,Unprovoked,SOUTH AFRICA,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark,4465
2003.07.26.R,Reported 26-Jul-2003,2003,Unprovoked,AUSTRALIA,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,,,4464
2003.07.20,20-Jul-03,2003,Unprovoked,USA,Surfing,M,18,Laceration to little finger of  right hand,N,15h45,,4463
2003.07.15,15-Jul-03,2003,Unprovoked,USA,Wading,F,15,Heel & sole of left foot,N,14h37,,4462
2003.07.09,10-Jul-03,2003,Unprovoked,BAHAMAS,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species,4461
2003.07.05.b,05-Jul-03,2003,Provoked,USA,"Walking, carrying surfboard & stepped on shark",M,10,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,10h07,2' shark,4460
2003.07.05.a,05-Jul-03,2003,Unprovoked,USA,Surfing,M,21,Left foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark,4459
2003.07.04,04-Jul-03,2003,Unprovoked,BAHAMAS,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark,4458
2003.07.00.c,Jul-03,2003,Unprovoked,USA,Spearfishing,M,,Laceration to toe,N,,8' great hammerhead shark,4457
2003.07.00.b,Late Jul-2003,2003,Unprovoked,FRENCH POLYNESIA,Spearfishing,M,,Leg bitten,N,,,4456
2003.07.00.a,Jul-03,2003,Unprovoked,NEW ZEALAND,Snorkeling,M,,Chest & buttocks  bitten,N,,Grey reef shark,4455
2003.06.30,30-Jun-03,2003,Unprovoked,USA,Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species,4454
2003.06.26,26-Jun-03,2003,Unprovoked,USA,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark,4453
2003.06.24.c,24-Jun-03,2003,Unprovoked,BRAZIL,,M,,FATAL,Y,,,4452
2003.06.24.b,24-Jun-03,2003,Unprovoked,USA,Standing,F,12,2 lacerations to the thigh,N,Afternoon,“small brown shark”,4451
2003.06.24.a,24-Jun-03,2003,Unprovoked,USA,Swimming with pod of dolphins,M,60,Right foot bitten,N,08h00,3.7 m to 4.3 m [12' to 14'] shark,4450
2003.06.22,22-Jun-03,2003,Unprovoked,USA,Swimming,M,51,Left leg bitten,N,Afternoon,Unidentified species,4449
2003.06.19,19-Jun-03,2003,Unprovoked,USA,Surfing ,M,33,Hand bitten ,N,Late afternoon,"""sand shark""",4448
2003.06.08,08-Jun-03,2003,Unprovoked,USA,Surfing,,15,6 puncture wounds to left ankle,N,11h55,,4447
2003.06.00,Jun-03,2003,Invalid,USA,Swimming,F,22,Foot lacerated,N,,Shark involvement not confirmed,4446
2003.05.25,25-May-03,2003,Unprovoked,USA,Surfing,M,18,Left foot lacerated,N,10h00,,4445
2003.05.14,14-May-03,2003,Unprovoked,USA,Wading,M,22,Left foot bitten,N,13h23,3' to 5' shark,4444
2003.05.10,10-May-03,2003,Unprovoked,USA,Swimming,M,20,Right calf & heel bitten,N,11h45,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,4443
2003.05.07,07-May-03,2003,Provoked,USA,Surfing,M,34,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,11h40,4' to 5' shark,4442
2003.05.03,03-May-03,2003,Unprovoked,USA,Walking,F,9,Laceration to right lower leg,N,12h20,,4441
2003.05.00,May-03,2003,Unprovoked,PHILIPPINES,,,,Arm severed,N,,White shark,4440
2003.04.26,26-Apr-03,2003,Provoked,BRAZIL,Killing  sharks,M,,Shallow  lacerations to left  thigh PROVOKED INCIDENT,N,,,4439
2003.04.25,25-Apr-03,2003,Unprovoked,BRAZIL,Swimming ,M,16,Bitten on finger,N,18h30,,4438
2003.04.23.b,23-Apr-03,2003,Unprovoked,BRAZIL,Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,17h00,Bull shark,4437
2003.04.23.a,23-Apr-03,2003,Unprovoked,BRAZIL,Swimming,M,7,Right hand lacerated,N,,,4436
2003.04.21.b,21-Apr-03,2003,Unprovoked,USA,Surfing,M,36,Right leg bitten,N,14h30,Unidentified species,4435
2003.04.21.a,21-Apr-03,2003,Unprovoked,USA,Surfing,M,17,Survived,N,13h30,Unidentified species,4434
2003.04.20.c,20-Apr-03,2003,Unprovoked,USA,Surfing,M,30,Left foot bitten,N,Afternoon,Unidentified species,4433
2003.04.20.b,20-Apr-03,2003,Unprovoked,USA,Surfing,M,23,Small lacerations to foot,N,09h00,0.9 m to 1.2 m [3' to 4'] shark,4432
2003.04.20.a,20-Apr-03,2003,Unprovoked,USA,Surfing,M,18,Left ankle bitten or right foot,N,14h20,Unidentified species,4431
2003.04.19,19-Apr-03,2003,Unprovoked,USA,Jumping,M,11,Left foot bitten,N,13h20,A “small” shark,4430
2003.04.18,18-Apr-03,2003,Unprovoked,USA,Surfing,M,12,2 lacerations on left thigh,N,08h50,Unidentified species,4429
2003.04.15,15-Apr-03,2003,Unprovoked,USA,Swimming (using a float),M,20,Left calf lacerated,N,13h00,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",4428
2003.04.11,11-Apr-03,2003,Unprovoked,VENEZUELA,Surfing,M,28,"Right foot bitten, left leg severed",N,--,"Mako shark, 3 m [10']",4427
2003.04.09,09-Apr-03,2003,Unprovoked,USA,Surfing,M,,Arm lacerated,N,Dusk,,4426
2003.04.04,04-Apr-03,2003,Unprovoked,USA,Surfing,M,50,Left hand and wrist bitten,N,08h00,4' to 5' shark,4425
2003.03.10,10-Mar-03,2003,Provoked,USA,Petting captive sharks,F,,Hand nipped PROVOKED INCIDENT,N,,60 cm [2'] captive shark,4424
2003.02.27,27-Feb-03,2003,Unprovoked,NEW ZEALAND,Scuba diving,M,44,Arm lacerated (shark made 3 strikes),N,11h45,2.5 m [8.25'] white shark,4423
2003.02.15.b,15-Feb-03,2003,Unprovoked,AUSTRALIA,Wading,M,37,Ankle lacerated,N,Dusk,"""a small shark""",4422
2003.02.15.a,15-Feb-03,2003,Unprovoked,USA,Swimming,M,54,Left hand bitten,N,12h10,Species unidentified,4421
2003.02.11,11-Feb-03,2003,Unprovoked,AUSTRALIA,Swimming,M,24,"Puncture wounds on heel, legs and buttocks",N,--,Thought to involve a 2 m [6.75'] grey nurse shark,4420
2003.02.08,08-Feb-03,2003,Unprovoked,AUSTRALIA,Swimming,M,84,FATAL,Y,Morning,Thought to involve a >2 m [6.75'] bull shark,4419
2003.01.17,17-Jan-03,2003,Invalid,SOUTH AFRICA,Unknown,M,14,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,Y,--,,4418
2003.01.03,03-Jan-03,2003,Unprovoked,COSTA RICA,Surfing,M,,Lower right leg lacerated,N,,"Bull shark, 7'",4417
2003.01.02,02-Jan-03,2003,Unprovoked,AUSTRALIA,Surfing,F,,"No injury, but her surfboard was bitten",N,13h00,"Bronze whaler shark, 2.5 m [8.25'] ",4416
2002.12.29,29-Dec-02,2002,Unprovoked,AUSTRALIA,Snorkeling,F,18,Left arm lacerated,N,,Reported to involve a hammerhead shark,4415
2002.12.24,24-Dec-02,2002,Unprovoked,SOUTH AFRICA,Snorkeling,M,25,Forearms lacerated,N,Just after 12h00,"White shark, 4 m white shark",4414
2002.12.21,21-Dec-02,2002,Unprovoked,AUSTRALIA,Scuba diving,M,26,Groin bitten,N,,"Wobbegong shark, 1m",4413
2002.12.20,20-Dec-02,2002,Invalid,AUSTRALIA,Swimming,M,11,Foot lacerated,N,,"Shark involvement not confirmed, injury may be due to a stingray",4412
2002.12.16,16-Dec-02,2002,Unprovoked,AUSTRALIA,Swimming,M,23,FATAL,Y,02h30,Bull shark,4411
2002.12.01,01-Dec-02,2002,Unprovoked,BRAZIL,Surfing,M,19,FATAL,Y,,,4410
2002.11.28.b,28-Nov-02,2002,Unprovoked,MICRONESIA,Scuba diving,M,,Minor injury to right calf,N,Afternoon,Blacktip shark,4409
2002.11.28.a,28-Nov-02,2002,Unprovoked,USA,Body boarding,M,48,Both legs severely lacerated,N,09h45,3 m to 4.5 m [10' to 15'] white shark,4408
2002.11.17,17-Nov-02,2002,Unprovoked,USA,Swimming,F,34,Right shoulder forarm & wrist bitten,N,10h45,2.4 m to 3 m [8' to 10'] grey colored shark,4407
2002.11.14,14-Nov-02,2002,Unprovoked,TURKS & CAICOS,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,08h40,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,4406
2002.11.11,11-Nov-02,2002,Unprovoked,USA,Surfing,M,21,1.5-inch laceration,N,13h40,6' shark,4405
2002.11.02,02-Nov-02,2002,Unprovoked,USA,Boogie boarding,M,16,Puncture wounds on right foot,N,13h25,3' to 4' shark,4404
2002.11.00.a,Nov-02,2002,Unprovoked,FRENCH POLYNESIA,"Fishing, standing in 2' of water",M,52,Shin bruised,N,,,4403
2002.10.30,30-Oct-02,2002,Unprovoked,USA,Swimming,F,60,Left foot bitten ,N,11h56,A “small” shark,4402
2002.10.14,14-Oct-02,2002,Unprovoked,BRAZIL,Swimming,M,36,"FATAL, body not recovered",Y,16h00,Possibly a bull shark or tiger shark,4401
2002.10.11,11-Oct-02,2002,Unprovoked,USA,Surfing,M,21,Left foot bitten,N,Sunset,,4400
2002.10.05.b,05-Oct-02,2002,Unprovoked,USA,Surfing,M,14,Abrasions on right hand & deep laceration on middle finger,N,12h00,Blacktip or spinner shark,4399
2002.10.05.a,05-Oct-02,2002,Unprovoked,USA,Surfing,M,35,Heel & back of right knee lacerated,N,13h30,3.5' to 4.5' shark,4398
2002.10.03,03-Oct-02,2002,Unprovoked,USA,Surfing,M,18,Left hand lacerated and abraded,N,14h35,3.5' to 4' shark,4397
2002.09.30,30-Sep-02,2002,Unprovoked,USA,Surfing,M,47,Right hand severely lacerated,N,16h20,4' to 5' shark,4396
2002.09.29,29-Sep-02,2002,Unprovoked,USA,Surfing,M,32,Left hand bitten,N,07h30,,4395
2002.09.27.c,27-Sep-02,2002,Unprovoked,USA,Fishing from Surfboard,M,55,"No injury, surfboard bitten ",N,15h35,1.2 m [4'] blacktip shark,4394
2002.09.27.b,27-Sep-02,2002,Provoked,USA,Fishing,M,  ,Left thumb lacerated PROVOKED INCIDENT,N,Afternoon,1.8 m [6'] blacktip shark,4393
2002.09.27.a,27-Sep-02,2002,Provoked,TONGA,Swimming,M, ,Thigh lacerated  PROVOKED INCIDENT,N,15h00,"Tiger shark, 1.5 m [5']k",4392
2002.09.21.b,21-Sep-02,2002,Unprovoked,USA,Boogie boarding or Surfing,M,24, Ankle lacerated,N, ,2.4 m [8'] shark,4391
2002.09.21.a,21-Sep-02,2002,Unprovoked,USA,Surfing,M,35,No injury,N,Early Morning,3 m to 3.7 m [10' to 12'] shark,4390
2002.09.16.b,16-Sep-02,2002,Unprovoked,BRAZIL,Swimming,M,19,"Left thigh bitten, leg surgically amputated",N,15h00,Bull or tiger shark,4389
2002.09.16.a,16-Sep-02,2002,Unprovoked,USA,Body boarding,,,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,07h50,,4388
2002.09.13,13-Sep-02,2002,Unprovoked,SOUTH AFRICA,Surf skiing,M,47,No injury,N,16h00,White shark,4387
2002.09.09,09-Sep-02,2002,Unprovoked,USA,Boogie boarding,M,20,Bitten above & below right knee,N,15h55,4' to 6' shark,4386
2002.09.05,05-Sep-02,2002,Provoked,USA,"Wading, when he stepped on the shark",M,36,2 small puncture wounds on left foot PROVOKED INCIDENT,N,17h45,1' to 2' hammerhead or bonnethed shark,4385
2002.08.28,28-Aug-02,2002,Unprovoked,USA,Surfing,M,16,Left foot lacerated ,N,15h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",4384
2002.08.17,17-Aug-02,2002,Unprovoked,USA,Swimming,F,29,Both arms & leg bitten,N,17h00,,4383
2002.08.14,14-Aug-02,2002,Unprovoked,USA,Surfing,M,27,Big toe bitten,N,14h45,0.9 m  to 1.2 m [3' to 4'] shark,4382
2002.08.11,11-Aug-02,2002,Unprovoked,USA,Surfing,M,15,Lacerations on heel & dorsum of right foot,N,15h30,"Nurse shark, 1.5 m [5'] ",4381
2002.08.07,07-Aug-02,2002,Unprovoked,USA,Standing,M,15,Ankle & leg lacerated,N,12h30,,4380
2002.08.06.R,Reported 06-Aug-2002,2002,Provoked,UNITED KINGDOM,Diving,M,30,Hand bitten by captive shark PROVOKED INCIDENT,N,,"Sandtiger shark, 3 m [10'] ",4379
2002.08.05,05-Aug-02,2002,Unprovoked,USA,Standing,M,14,Leg lacerated,N,11h00,1.2 m to 1.5 m [4' to 5'] shark,4378
2002.07.26,26-Jul-02,2002,Unprovoked,USA,Surfing,M,13,Heel bitten,N,19h00,1.2 m [4'] blacktip or sandbar shark,4377
2002.07.20,20-Jul-02,2002,Unprovoked,USA,Swimming,F,15,Calf bitten,N,17h00,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",4376
2002.07.10,10-Jul-02,2002,Provoked,USA,Surfing,M,19,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,N,18h45,,4375
2002.07.09.b,09-Jul-02,2002,Provoked,USA,Shark Fishing,M,41,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Y,Shortly after midnight,"Mako shark, 400-lb ",4374
2002.07.09.a,10-Jul-02,2002,Unprovoked,BRAZIL,Surfing,M,22,Right hand severed,N,15h00,Bull or tiger shark,4373
